bio1_ann_m,bio2mean_d
168,139
167,139
167,139
166,139
168,138
168,138
168,139
167,139
167,139
169,138
169,138
169,139
166,139
166,139
168,139
168,139
168,139
168,139
171,143
140,126
140,126
140,126
165,148
165,148
194,142
191,146
191,146
187,149
198,142
198,142
140,126
192,145
197,141
140,126
140,126
187,151
187,151
197,141
189,144
198,142
197,142
197,141
197,141
189,144
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
153,105
200,142
200,142
200,142
197,141
197,141
197,140
196,139
197,141
197,141
197,141
197,142
196,139
201,144
199,145
199,145
199,145
199,145
198,139
197,138
197,138
197,138
202,143
199,138
199,138
199,138
197,138
197,138
202,143
202,143
198,139
202,143
202,143
202,143
189,140
189,140
195,139
175,137
150,126
150,126
152,124
151,124
151,124
151,124
151,124
149,124
149,124
151,124
153,124
172,157
179,155
179,155
192,142
192,142
187,149
187,149
187,149
187,149
187,149
185,151
158,149
158,149
158,149
192,142
192,142
192,142
185,151
185,151
185,151
185,151
187,149
187,149
187,149
187,149
173,132
172,131
172,131
172,131
172,133
174,135
172,131
172,133
174,135
174,135
173,132
173,133
173,133
176,131
176,131
173,139
168,140
174,141
173,140
173,140
173,139
173,140
173,140
173,140
173,139
173,140
173,140
173,140
173,140
166,131
166,131
166,131
166,131
158,130
168,134
168,134
167,132
168,134
168,134
168,134
168,134
167,132
167,132
167,132
168,134
168,134
154,129
154,129
148,125
152,126
157,129
156,128
157,128
151,125
153,128
130,119
130,119
130,119
158,129
157,128
157,128
130,119
157,128
130,119
156,128
157,128
152,127
153,129
153,128
156,128
156,128
157,128
191,144
156,146
156,146
155,147
197,141
189,145
174,146
169,146
169,146
186,147
186,147
169,146
169,146
145,125
150,127
139,124
142,123
136,122
136,122
154,128
155,128
145,125
205,139
206,143
