bio1_ann_m,bio2mean_d,bio3isoter
168,139,48
167,139,48
167,139,48
166,139,48
168,138,48
168,138,48
168,139,48
167,139,48
167,139,48
169,138,48
169,138,48
169,139,48
166,139,48
166,139,48
168,139,48
168,139,48
168,139,48
168,139,48
171,143,50
140,126,50
140,126,50
140,126,50
165,148,50
165,148,50
194,142,48
191,146,49
191,146,49
187,149,50
198,142,48
198,142,48
140,126,50
192,145,49
197,141,48
140,126,50
140,126,50
187,151,50
187,151,50
197,141,48
189,144,51
198,142,48
197,142,48
197,141,48
197,141,48
189,144,51
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
153,105,48
200,142,46
200,142,46
200,142,46
197,141,46
197,141,46
197,140,46
196,139,46
197,141,46
197,141,46
197,141,46
197,142,46
196,139,46
201,144,46
199,145,50
199,145,50
199,145,49
199,145,50
198,139,46
197,138,45
197,138,45
197,138,45
202,143,47
199,138,45
199,138,45
199,138,45
197,138,45
197,138,45
202,143,47
202,143,47
198,139,46
202,143,47
202,143,47
202,143,47
189,140,46
189,140,46
195,139,46
175,137,47
150,126,46
150,126,46
152,124,46
151,124,46
151,124,46
151,124,46
151,124,46
149,124,46
149,124,46
151,124,46
153,124,46
172,157,50
179,155,50
179,155,50
192,142,47
192,142,47
187,149,48
187,149,48
187,149,48
187,149,48
187,149,48
185,151,49
158,149,49
158,149,49
158,149,49
192,142,47
192,142,47
192,142,47
185,151,49
185,151,49
185,151,49
185,151,49
187,149,48
187,149,48
187,149,48
187,149,48
173,132,45
172,131,44
172,131,44
172,131,44
172,133,45
174,135,45
172,131,44
172,133,45
174,135,45
174,135,45
173,132,45
173,133,45
173,133,45
176,131,44
176,131,44
173,139,48
168,140,51
174,141,50
173,140,49
173,140,49
173,139,48
173,140,49
173,140,49
173,140,49
173,139,48
173,140,49
173,140,49
173,140,49
173,140,49
166,131,45
166,131,45
166,131,45
166,131,45
158,130,44
168,134,46
168,134,46
167,132,45
168,134,46
168,134,46
168,134,46
168,134,46
167,132,45
167,132,45
167,132,45
168,134,46
168,134,46
154,129,45
154,129,45
148,125,45
152,126,45
157,129,46
156,128,45
157,128,46
151,125,45
153,128,45
130,119,46
130,119,46
130,119,46
158,129,46
157,128,46
157,128,46
130,119,46
157,128,46
130,119,46
156,128,45
157,128,46
152,127,45
153,129,45
153,128,45
156,128,45
156,128,45
157,128,46
191,144,47
156,146,50
156,146,50
155,147,49
197,141,46
189,145,48
174,146,49
169,146,49
169,146,49
186,147,48
186,147,48
169,146,49
169,146,49
145,125,46
150,127,46
139,124,46
142,123,45
136,122,45
136,122,45
154,128,45
155,128,45
145,125,46
205,139,45
206,143,46
